energy,intensity,residual,fit,pseudovoigt_1,gaussian_2,gaussian_3,gaussian_4,gaussian_5,gaussian_6
-1.4000000000000008,0.0558643989978353,-0.050568760157736606,0.005295638840098697,0.005295638840098695,8.683701034928608e-135,2.2247790332845244e-104,3.548158999712885e-133,2.2386901118345553e-254,3.6464063086629596e-216
-1.383333333333334,0.0519569913045801,-0.04653521306767733,0.00542177823690277,0.005421778236902772,2.2029866489377993e-133,1.876576045304006e-103,3.95181044081334e-132,6.328216103889197e-253,9.203207852789072e-215
-1.3666666666666676,0.0452947674515218,-0.03974229671808477,0.00555247073343703,0.005552470733437032,5.4939643605581734e-132,1.567705497337309e-102,4.3592137354458045e-131,1.7716896577364743e-251,2.2983912581587112e-213
-1.3500000000000008,0.0461405494528854,-0.040452611729167004,0.005687937723718395,0.005687937723718393,1.3468734158552908e-130,1.2971249772410814e-101,4.762546731792553e-130,4.9126183512688164e-250,5.679619621800276e-212
-1.3333333333333344,0.0235251449314025,-0.01769673073313622,0.005828414198266282,0.005828414198266282,3.245896703228484e-129,1.0629631055517694e-100,5.1533467415614055e-129,1.3491412787404287e-248,1.3887532868642607e-210
-1.3166666666666675,0.0958572375229931,-0.08988308776640377,0.005974149756589331,0.005974149756589338,7.689703226473579e-128,8.6272739213544e-100,5.522789714332121e-128,3.6696180406318426e-247,3.360017256981735e-209
-1.3000000000000012,0.0712792242421315,-0.06515381453357164,0.006125409708559862,0.006125409708559858,1.790817930090086e-126,6.935024692849817e-99,5.8620116566461376e-127,9.885606562422323e-246,8.043933566923536e-208
-1.2833333333333343,0.1050855918507688,-0.09880311557708,0.006282476273688789,0.006282476273688795,4.0997772332682154e-125,5.521301510264354e-98,6.162456630900095e-126,2.637574950347742e-244,1.905487050288032e-206
-1.266666666666668,0.0842006092803171,-0.07775495939196436,0.006445649888352736,0.006445649888352733,9.226480227203615e-124,4.353654329282458e-97,6.416232635470906e-125,6.969880385974936e-243,4.466363721714054e-205
-1.250000000000001,0.0170856863345499,-0.010470435702351805,0.0066152506321980956,0.0066152506321980956,2.0411683324101044e-122,3.4000511605924904e-96,6.6164548884452425e-124,1.824168148275404e-241,1.0358878329500747e-203
-1.2333333333333347,0.0334467210279434,-0.026655101241668637,0.006791619786274766,0.006791619786274767,4.4390348942813345e-121,2.629880335049018e-95,6.757555752591836e-123,4.728500500760554e-240,2.3772887549246783e-202
-1.216666666666668,0.0083076107264714,-0.0013324891895161147,0.006975121536955286,0.006975121536955286,9.489979330886172e-120,2.0146775694329618e-94,6.835541857228999e-122,1.2139506676705463e-238,5.398358213472297e-201
-1.2000000000000015,0.0691372440712335,-0.061971099229832315,0.007166144841401191,0.007166144841401192,1.994384750006646e-118,1.5286010114309317e-93,6.84818185195151e-121,3.0867230504121317e-237,1.2129754793278844e-199
-1.183333333333335,0.0870026399435306,-0.07963753447125353,0.0073651054722770615,0.0073651054722770675,4.120212291652622e-117,1.1486871475227907e-92,6.795112473711277e-120,7.773441233981112e-236,2.6968258542114433e-198
-1.1666666666666683,0.0856501918872604,-0.07807774362564175,0.007572448261618653,0.007572448261618649,8.367528738741828e-116,8.549257713965068e-92,6.677855891056176e-119,1.938866925288941e-234,5.93286332671011e-197
-1.1500000000000017,0.0184664105258557,-0.010677760959578621,0.007788649566277077,0.007788649566277077,1.670482008101142e-114,6.301937385528338e-91,6.499747169868521e-118,4.7896272109146665e-233,1.291476011031692e-195
-1.133333333333335,0.1012696893139263,-0.09325546933369279,0.008014219980233508,0.008014219980233512,3.278335245004786e-113,4.6008575452035204e-90,6.265776684156697e-117,1.1718565467046591e-231,2.781755162324616e-194
-1.1166666666666685,0.0900266923271905,-0.08177698500482594,0.00824970732236456,0.008249707322364566,6.324582960811124e-112,3.3267680134877986e-89,5.982357863570203e-116,2.839659167244845e-230,5.928734754599725e-193
-1.100000000000002,0.0649266938753068,-0.05643099394330213,0.008495699932004677,0.008495699932004675,1.1994368712335515e-110,2.3824581222573114e-88,5.65703535919931e-115,6.815174972682352e-229,1.2503042237291082e-191
-1.0833333333333353,0.0122839490137762,-0.0035311187048009396,0.00875283030897526,0.00875283030897526,2.2360930259207573e-109,1.6898457422321545e-87,5.2981521442379146e-114,1.6199694779816805e-227,2.6090351784711435e-190
-1.0666666666666689,0.0511603760966481,-0.04213859695692452,0.00902177913972358,0.009021779139723582,4.097975047313918e-108,1.1871015604974538e-86,4.9144959966825417e-113,3.813780391665709e-226,5.3870961950856e-189
-1.050000000000002,0.1007672062998335,-0.09146392654288732,0.009303279756946184,0.00930327975694618,7.382708529166484e-107,8.259385136454644e-86,4.5149461367536205e-112,8.892493549805875e-225,1.1006268050350578e-187
-1.0333333333333354,0.0645506382958404,-0.054952515209150454,0.009598123086689947,0.009598123086689947,1.3074620931645225e-105,5.691497999858637e-85,4.108139564421196e-111,2.0535745052161756e-223,2.2250306595351186e-186
-1.0166666666666688,0.085381815664481,-0.07547465251989806,0.00990716314458294,0.009907163144582941,2.2761949765446292e-104,3.8844048272261345e-84,3.702174054820154e-110,4.6969549744205933e-222,4.450845027093273e-185
-1.0000000000000022,0.1016522378151484,-0.09142091466342146,0.010231323151726937,0.010231323151726942,3.8954423841746144e-103,2.6256776690934188e-83,3.304361126500028e-109,1.063999338226654e-220,8.809667258723482e-184
-0.9833333333333356,0.0255700571034611,-0.014998454752358198,0.010571602351102903,0.010571602351102903,6.553466451706416e-102,1.7578319904499929e-82,2.92103797877639e-108,2.3871809853737513e-219,1.725389286563321e-182
-0.966666666666669,0.0222829579317704,-0.011353874314412702,0.010929083617357697,0.010929083617357697,1.0838079849961064e-100,1.1655538545632615e-81,2.5574428100930704e-107,5.30454774847838e-218,3.343684160366675e-181
-0.9500000000000024,0.0177393773146719,-0.006434435347804622,0.011304941966867278,0.011304941966867278,1.7619784106535244e-99,7.654315405357296e-81,2.217653476762239e-106,1.1674288118480152e-216,6.411711280921231e-180
-0.9333333333333358,0.0442297831686121,-0.03252932907723015,0.01170045409138195,0.011700454091381948,2.815890675298927e-98,4.9785100786139346e-80,1.9045854773804664e-105,2.544670057342999e-215,1.2165591430926992e-178
-0.9166666666666692,0.0197612635256894,-0.007644254467884835,0.012117009057804565,0.012117009057804565,4.42382529075159e-97,3.207092271806881e-79,1.6200420194694185e-104,5.493531000253321e-214,2.284036581597828e-177
-0.9000000000000026,0.0462988518357429,-0.03374273149646453,0.012556120339278373,0.012556120339278371,6.831988319003977e-96,2.0461739329742156e-78,1.3648066111739025e-103,1.1746019228815336e-212,4.2431017166589116e-176
-0.8833333333333359,0.0530644007155577,-0.04004496134612941,0.013019439369428294,0.013019439369428292,1.0372017329408689e-94,1.2929825627494694e-77,1.1387672897608811e-102,2.487418517952713e-211,7.799636978131832e-175
-0.8666666666666692,0.089474904507891,-0.07596613366477802,0.013508770843112985,0.013508770843112985,1.54791219871399e-93,8.092110715420551e-77,9.410612221169083e-102,5.217062585868261e-210,1.418652068032417e-173
